Store,Date,ShortagePenalty
1,2015-08-01,0.0
1,2015-08-02,0.0
1,2015-08-03,0.0
1,2015-08-04,0.0
1,2015-08-05,0.0
1,2015-08-06,0.0
1,2015-08-07,0.0
1,2015-08-08,0.0
1,2015-08-09,0.0
1,2015-08-10,0.0
1,2015-08-11,0.0
1,2015-08-12,0.0
1,2015-08-13,0.0
1,2015-08-14,0.0
1,2015-08-15,0.0
1,2015-08-16,0.0
1,2015-08-17,0.0
1,2015-08-18,0.0
1,2015-08-19,0.0
1,2015-08-20,0.0
1,2015-08-21,0.0
1,2015-08-22,0.0
1,2015-08-23,0.0
1,2015-08-24,0.0
1,2015-08-25,0.0
1,2015-08-26,0.0
1,2015-08-27,0.0
1,2015-08-28,0.0
1,2015-08-29,0.0
1,2015-08-30,0.0
1,2015-08-31,0.0
1,2015-09-01,0.0
1,2015-09-02,0.0
1,2015-09-03,0.0
1,2015-09-04,0.0
1,2015-09-05,0.0
1,2015-09-06,0.0
1,2015-09-07,0.0
1,2015-09-08,0.0
1,2015-09-09,0.0
1,2015-09-10,0.0
1,2015-09-11,0.0
1,2015-09-12,0.0
1,2015-09-13,0.0
1,2015-09-14,0.0
1,2015-09-15,0.0
1,2015-09-16,0.0
1,2015-09-17,0.0
3,2015-08-01,0.0
3,2015-08-02,0.0
3,2015-08-03,0.0
3,2015-08-04,0.0
3,2015-08-05,0.0
3,2015-08-06,0.0
3,2015-08-07,0.0
3,2015-08-08,0.0
3,2015-08-09,0.0
3,2015-08-10,0.0
3,2015-08-11,0.0
3,2015-08-12,0.0
3,2015-08-13,0.0
3,2015-08-14,0.0
3,2015-08-15,0.0
3,2015-08-16,0.0
3,2015-08-17,0.0
3,2015-08-18,0.0
3,2015-08-19,0.0
3,2015-08-20,0.0
3,2015-08-21,0.0
3,2015-08-22,0.0
3,2015-08-23,0.0
3,2015-08-24,0.0
3,2015-08-25,0.0
3,2015-08-26,0.0
3,2015-08-27,0.0
3,2015-08-28,0.0
3,2015-08-29,0.0
3,2015-08-30,0.0
3,2015-08-31,0.0
3,2015-09-01,0.0
3,2015-09-02,0.0
3,2015-09-03,0.0
3,2015-09-04,0.0
3,2015-09-05,0.0
3,2015-09-06,0.0
3,2015-09-07,0.0
3,2015-09-08,0.0
3,2015-09-09,0.0
3,2015-09-10,0.0
3,2015-09-11,0.0
3,2015-09-12,0.0
3,2015-09-13,0.0
3,2015-09-14,0.0
3,2015-09-15,0.0
3,2015-09-16,0.0
3,2015-09-17,0.0
7,2015-08-01,0.0
7,2015-08-02,0.0
7,2015-08-03,1335.239841944847
7,2015-08-04,0.0
7,2015-08-05,0.0
7,2015-08-06,0.0
7,2015-08-07,0.0
7,2015-08-08,0.0
7,2015-08-09,0.0
7,2015-08-10,0.0
7,2015-08-11,0.0
7,2015-08-12,0.0
7,2015-08-13,0.0
7,2015-08-14,0.0
7,2015-08-15,0.0
7,2015-08-16,0.0
7,2015-08-17,1343.7626540545987
7,2015-08-18,0.0
7,2015-08-19,0.0
7,2015-08-20,0.0
7,2015-08-21,0.0
7,2015-08-22,0.0
7,2015-08-23,0.0
7,2015-08-24,0.0
7,2015-08-25,0.0
7,2015-08-26,0.0
7,2015-08-27,0.0
7,2015-08-28,0.0
7,2015-08-29,0.0
7,2015-08-30,0.0
7,2015-08-31,1360.6740018497155
7,2015-09-01,0.0
7,2015-09-02,0.0
7,2015-09-03,0.0
7,2015-09-04,0.0
7,2015-09-05,0.0
7,2015-09-06,0.0
7,2015-09-07,0.0
7,2015-09-08,0.0
7,2015-09-09,0.0
7,2015-09-10,0.0
7,2015-09-11,0.0
7,2015-09-12,0.0
7,2015-09-13,0.0
7,2015-09-14,0.0
7,2015-09-15,0.0
7,2015-09-16,0.0
7,2015-09-17,0.0
8,2015-08-01,0.0
8,2015-08-02,0.0
8,2015-08-03,0.0
8,2015-08-04,0.0
8,2015-08-05,0.0
8,2015-08-06,0.0
8,2015-08-07,0.0
8,2015-08-08,0.0
8,2015-08-09,0.0
8,2015-08-10,0.0
8,2015-08-11,0.0
8,2015-08-12,0.0
8,2015-08-13,0.0
8,2015-08-14,0.0
8,2015-08-15,0.0
8,2015-08-16,0.0
8,2015-08-17,0.0
8,2015-08-18,0.0
8,2015-08-19,0.0
8,2015-08-20,0.0
8,2015-08-21,0.0
8,2015-08-22,0.0
8,2015-08-23,0.0
8,2015-08-24,0.0
8,2015-08-25,0.0
8,2015-08-26,0.0
8,2015-08-27,0.0
8,2015-08-28,0.0
8,2015-08-29,0.0
8,2015-08-30,0.0
8,2015-08-31,0.0
